id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S2194,Ясенево. автотехцентр,Независимый,Все марки,Москва,Литовский бульвар. 12 - 1 этаж,37.53021456,55.61249692,(495) 426-94-76. (495) 978-80-64. (495) 425-11-05,,,,Наличный расчет
S2195,AРС. СТО,Независимый,Все марки,Москва,Киевская. 27 - 0 уровень,37.53941323,55.73717252,8-905-780-18-40,,,,Наличный расчет. Оплата через банк. через банк
S2196,Abagurmotors. автотехцентр,Независимый,Все марки,Московская обл,Киевское шоссе 21 км. 1а - ТК Автомастер,37.43882898,55.62579194,(499) 343-46-76,abagurmotors.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S2197,ABCautо. автотехцентр,Независимый,Все марки,Москва,Дубнинская. 75 ст18,37.55593981,55.88337192,(495) 484-07-33. (495) 484-26-64. (495) 485-55-93,abcautoservice.ru,8:00-22:00,8:00-22:00,Наличный расчет. Visa. MasterCard
S2198,Ac-msk. автосервис,Независимый,Все марки,Москва,Обручева. 34/64а,37.53889465,55.65368253,8-916-366-93-50. 8-916-731-65-13. (495) 500-84-46,ac-msk.ru,9:00-21:00,9:00-21:00,Наличный расчет
S2199,Afto-Service. автосервис,Независимый,Все марки,Москва,Лужнецкая Набережная. вл8,37.5659914,55.71506121,(495) 997-70-03,afto-service.ru,9:00-22:00,9:00-22:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card.
S2200,Alex Auto Group. автосервис,Независимый,Все марки,Москва,Походный проезд. 24 - 1 этаж,37.423576,55.84230712,(499) 493-33-48. (495) 772-01-16,,,,Наличный расчет
S2201,Alex-Servis. автотехцентр,Независимый,Все марки,Москва,Врачебный проезд. 3 к1 - 1 этаж,37.45962348,55.81277713,8-968-710-69-99,alex-servis.ru,10:00-19:00,10:00-19:00,Наличный расчет
S2202,All right auto. автосервис,Независимый,Все марки,Москва,Парковая 3-я. 55 - 1 этаж,37.78171314,55.8050182,8-925-000-70-49. (495) 965-73-46. 8-926-567-85-98,,,,Наличный расчет. Оплата через банк. через банк
S2203,Allianz-сервис. автосервис,Независимый,Все марки,Красногорск (Красногорский район),Центральная. 36,37.35686897,55.81273756,8-926-604-10-10. 8-916-555-21-90,allianz-service.ru,9:00-20:00,9:00-20:00,Наличный расчет
S2204,American service. автосервис,Независимый,General Motors. Chrysler. Jeep. Ford. ,Москва,Солнечногорская. 4,37.51568043,55.85644176,(495) 760-74-68. (495) 760-74-69,americanservice.ru,10:00-20-:00,10:00-18:00,Наличный расчет
S2205,Ankar на Почтовой,Независимый,Все марки,Москва,Малая Почтовая. 12 к1,37.68833413,55.7723183,(495) 950-53-48 (многоканальный). 8-963-782-32-09,www.ankar.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S2206,Ankar на Планерной,Независимый,Все марки,Москва,Ул. Планерная. 6. корпус ,37.435403 ,55.859468 ,+7 (495) 256-43-45,www.ankar.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S2207,Ankar на Нагатинской,Независимый,Все марки,Москва,Ул. Нагатинская. дом 5 ,37.635386 ,55.680575 ,+7 (495) 204-31-98,www.ankar.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S2208,ARK SERVICE. технический центр,Независимый,BMW. MERCEDES. PORSCHE. INFINITI,Москва,Азовская. 28Б ст4,37.59535808,55.64623734,(495) 720-35-13,arkservice.ru,10:00-21:00,10:00-21:00,Наличный расчет. Visa. MasterCard. American Express
S2209,AR-GROUP. автотехцентр,Независимый,Все марки,Москва,Танковый проезд. 4 ст38,37.68216479,55.75529893,(495) 778-85-89,www.ar-group.ru,10:00-20-:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S2210,Asia Motors. торгово-сервисный центр,Независимый,Все марки,Москва,Лесная. 61 ст4,37.59379153,55.78301934,(495) 969-17-42. (499) 250-20-61. 8-968-808-70-42,www.toyota-trd.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
S2211,ASP-groupservice. автосервис,Независимый,Fiat. Peugeot. Citroen,Москва,Южнопортовая. 38 - 1 этаж,37.70701616,55.70197699,(495) 649-33-91. 8-916-648-18-30. 8-926-630-97-66,www.service-asp.ru,9:30-20:30,выходной,Наличный расчет. Оплата через банк. через банк
